event_id,equipment,area,crew,fault_code,fault_description,severity,fault_start,fault_cleared,equipment_restarted
E-0081,CELL-A-02,Assembly,D,F415,Communication interruption,Medium,2026-07-19 06:41:00,2026-07-19 06:58:00,2026-07-19 07:03:00
E-0579,ROBOT-G-01,Automation,C,F101,Guard circuit open,High,2026-07-19 08:55:00,2026-07-19 09:00:00,2026-07-19 09:01:00
E-0365,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Low,2026-07-19 09:30:00,2026-07-19 09:46:00,2026-07-19 09:47:00
E-0298,PRESS-F-01,Forming,D,F310,Cycle-time timeout,Medium,2026-07-19 10:46:00,2026-07-19 10:58:00,2026-07-19 11:00:00
E-0201,CELL-A-01,Assembly,A,F101,Guard circuit open,Medium,2026-07-19 13:12:00,2026-07-19 13:14:00,2026-07-19 13:25:00
E-0286,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Medium,2026-07-19 13:12:00,2026-07-19 13:22:00,2026-07-19 13:29:00
E-0178,VISION-C-01,Inspection,D,F310,Cycle-time timeout,Medium,2026-07-19 13:35:00,2026-07-19 13:37:00,2026-07-19 13:47:00
E-0235,PUMP-E-01,Utilities,D,F101,Guard circuit open,Low,2026-07-19 14:20:00,2026-07-19 14:23:00,2026-07-19 14:31:00
E-0037,VISION-C-01,Inspection,C,F415,Communication interruption,Medium,2026-07-19 16:03:00,2026-07-19 16:07:00,2026-07-19 16:09:00
E-0121,ROBOT-G-01,Automation,B,F310,Cycle-time timeout,Medium,2026-07-19 19:24:00,2026-07-19 19:40:00,2026-07-19 19:44:00
E-0282,VISION-C-01,Inspection,D,F415,Communication interruption,Medium,2026-07-19 19:37:00,2026-07-19 19:48:00,2026-07-19 20:00:00
E-0384,PUMP-E-01,Utilities,C,F630,Drive overload,Medium,2026-07-19 20:34:00,2026-07-19 20:43:00,2026-07-19 20:55:00
E-0431,CONVEYOR-B-01,Material Handling,C,F204,Part not detected,Medium,2026-07-19 21:01:00,2026-07-19 21:19:00,2026-07-19 21:31:00
E-0630,PACK-D-01,Packaging,B,F522,Material-present sensor blocked,Medium,2026-07-19 21:48:00,2026-07-19 22:03:00,2026-07-19 22:05:00
E-0453,VISION-C-01,Inspection,D,F101,Guard circuit open,Low,2026-07-19 22:31:00,2026-07-19 22:49:00,2026-07-19 22:55:00
E-0003,CELL-A-01,Assembly,B,F101,Guard circuit open,Medium,2026-07-19 22:44:00,2026-07-19 22:59:00,2026-07-19 23:07:00
E-0479,PACK-D-01,Packaging,D,F415,Communication interruption,High,2026-07-19 22:52:00,2026-07-19 23:04:00,2026-07-19 23:10:00
E-0113,PRESS-F-01,Forming,A,F310,Cycle-time timeout,Low,2026-07-19 23:32:00,2026-07-19 23:44:00,2026-07-19 23:49:00
E-0618,PUMP-E-01,Utilities,B,F630,Drive overload,Low,2026-07-20 00:13:00,2026-07-20 00:26:00,2026-07-20 00:36:00
E-0177,VISION-C-01,Inspection,A,F415,Communication interruption,Medium,2026-07-20 00:34:00,2026-07-20 00:44:00,2026-07-20 00:56:00
E-0228,CONVEYOR-B-01,Material Handling,D,F630,Drive overload,Medium,2026-07-20 00:49:00,2026-07-20 00:55:00,2026-07-20 01:06:00
E-0573,PACK-D-01,Packaging,B,F415,Communication interruption,Medium,2026-07-20 01:43:00,2026-07-20 01:58:00,2026-07-20 02:02:00
E-0467,VISION-C-01,Inspection,D,F522,Material-present sensor blocked,High,2026-07-20 01:55:00,2026-07-20 02:12:00,2026-07-20 02:14:00
E-0312,PACK-D-01,Packaging,A,F310,Cycle-time timeout,Medium,2026-07-20 02:22:00,2026-07-20 02:30:00,2026-07-20 02:42:00
E-0499,CELL-A-01,Assembly,B,F415,Communication interruption,Medium,2026-07-20 04:36:00,2026-07-20 04:49:00,2026-07-20 04:59:00
E-0100,PUMP-E-01,Utilities,A,F310,Cycle-time timeout,Low,2026-07-20 08:08:00,2026-07-20 08:17:00,2026-07-20 08:19:00
E-0305,CELL-A-01,Assembly,C,F310,Cycle-time timeout,Low,2026-07-20 09:03:00,2026-07-20 09:08:00,2026-07-20 09:15:00
E-0532,PACK-D-01,Packaging,D,F204,Part not detected,High,2026-07-20 09:13:00,2026-07-20 09:21:00,2026-07-20 09:23:00
E-0476,PACK-D-01,Packaging,B,F101,Guard circuit open,Medium,2026-07-20 10:57:00,2026-07-20 11:14:00,2026-07-20 11:24:00
E-0330,ROBOT-G-01,Automation,B,F522,Material-present sensor blocked,Low,2026-07-20 11:49:00,2026-07-20 11:59:00,2026-07-20 12:09:00
E-0136,VISION-C-01,Inspection,C,F101,Guard circuit open,High,2026-07-20 12:23:00,2026-07-20 12:28:00,2026-07-20 12:30:00
E-0348,VISION-C-01,Inspection,C,F204,Part not detected,Low,2026-07-20 12:32:00,2026-07-20 12:42:00,2026-07-20 12:52:00
E-0063,ROBOT-G-01,Automation,B,F522,Material-present sensor blocked,Medium,2026-07-20 16:06:00,2026-07-20 16:11:00,2026-07-20 16:23:00
E-0552,CELL-A-02,Assembly,D,F630,Drive overload,Low,2026-07-20 16:28:00,2026-07-20 16:35:00,2026-07-20 16:46:00
E-0299,PRESS-F-01,Forming,B,F630,Drive overload,Medium,2026-07-20 18:47:00,2026-07-20 18:51:00,2026-07-20 19:03:00
E-0088,CONVEYOR-B-01,Material Handling,A,F204,Part not detected,Low,2026-07-20 20:09:00,2026-07-20 20:25:00,2026-07-20 20:26:00
E-0038,CELL-A-01,Assembly,D,F101,Guard circuit open,High,2026-07-21 00:00:00,2026-07-21 00:02:00,2026-07-21 00:11:00
E-0096,CELL-A-01,Assembly,B,F101,Guard circuit open,Low,2026-07-21 05:25:00,2026-07-21 05:34:00,2026-07-21 05:43:00
E-0191,PUMP-E-01,Utilities,B,F310,Cycle-time timeout,Low,2026-07-21 05:48:00,2026-07-21 05:50:00,2026-07-21 05:53:00
E-0580,CONVEYOR-B-01,Material Handling,D,F204,Part not detected,Medium,2026-07-21 06:55:00,2026-07-21 07:03:00,2026-07-21 07:13:00
E-0529,PRESS-F-01,Forming,B,F415,Communication interruption,Low,2026-07-21 08:01:00,2026-07-21 08:10:00,2026-07-21 08:19:00
E-0127,PRESS-F-01,Forming,D,F415,Communication interruption,High,2026-07-21 09:07:00,2026-07-21 09:16:00,2026-07-21 09:28:00
E-0042,CELL-A-02,Assembly,B,F522,Material-present sensor blocked,Medium,2026-07-21 12:19:00,2026-07-21 12:20:00,2026-07-21 12:23:00
E-0493,CELL-A-02,Assembly,C,F204,Part not detected,Low,2026-07-21 16:53:00,2026-07-21 17:08:00,2026-07-21 17:13:00
E-0052,CELL-A-02,Assembly,B,F630,Drive overload,Medium,2026-07-21 17:14:00,2026-07-21 17:28:00,2026-07-21 17:36:00
E-0297,CONVEYOR-B-01,Material Handling,C,F204,Part not detected,High,2026-07-21 17:33:00,2026-07-21 17:36:00,2026-07-21 17:45:00
E-0501,CELL-A-02,Assembly,A,F310,Cycle-time timeout,High,2026-07-21 19:18:00,2026-07-21 19:25:00,2026-07-21 19:26:00
E-0274,CELL-A-01,Assembly,C,F101,Guard circuit open,Medium,2026-07-21 20:28:00,2026-07-21 20:32:00,2026-07-21 20:42:00
E-0557,PUMP-E-01,Utilities,D,F204,Part not detected,Medium,2026-07-21 20:42:00,2026-07-21 20:47:00,2026-07-21 20:51:00
E-0157,CELL-A-02,Assembly,A,F310,Cycle-time timeout,Medium,2026-07-21 20:49:00,2026-07-21 20:52:00,2026-07-21 20:53:00
E-0300,CONVEYOR-B-01,Material Handling,B,F204,Part not detected,Medium,2026-07-21 20:58:00,2026-07-21 21:05:00,2026-07-21 21:09:00
E-0457,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Low,2026-07-21 22:01:00,2026-07-21 22:18:00,2026-07-21 22:30:00
E-0071,PUMP-E-01,Utilities,D,F415,Communication interruption,Low,2026-07-21 22:17:00,2026-07-21 22:34:00,2026-07-21 22:36:00
E-0596,VISION-C-01,Inspection,B,F415,Communication interruption,High,2026-07-21 22:28:00,2026-07-21 22:37:00,2026-07-21 22:44:00
E-0546,CELL-A-01,Assembly,D,F101,Guard circuit open,Medium,2026-07-22 02:38:00,2026-07-22 02:52:00,2026-07-22 03:00:00
E-0244,CELL-A-01,Assembly,A,F101,Guard circuit open,Medium,2026-07-22 05:30:00,2026-07-22 05:44:00,2026-07-22 05:46:00
E-0391,ROBOT-G-01,Automation,D,F310,Cycle-time timeout,Low,2026-07-22 06:12:00,2026-07-22 06:19:00,2026-07-22 06:31:00
E-0091,CELL-A-02,Assembly,C,F310,Cycle-time timeout,High,2026-07-22 06:26:00,2026-07-22 06:31:00,2026-07-22 06:32:00
E-0415,PUMP-E-01,Utilities,C,F204,Part not detected,Low,2026-07-22 06:45:00,2026-07-22 06:55:00,2026-07-22 07:01:00
E-0196,PUMP-E-01,Utilities,B,F204,Part not detected,Medium,2026-07-22 07:31:00,2026-07-22 07:38:00,2026-07-22 07:49:00
E-0350,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Low,2026-07-22 08:24:00,2026-07-22 08:36:00,2026-07-22 08:41:00
E-0194,VISION-C-01,Inspection,B,F415,Communication interruption,Low,2026-07-22 09:02:00,2026-07-22 09:16:00,2026-07-22 09:24:00
E-0528,VISION-C-01,Inspection,D,F415,Communication interruption,High,2026-07-22 09:31:00,2026-07-22 09:32:00,2026-07-22 09:40:00
E-0625,CELL-A-02,Assembly,C,F310,Cycle-time timeout,Low,2026-07-22 14:45:00,2026-07-22 14:51:00,2026-07-22 14:53:00
E-0285,VISION-C-01,Inspection,C,F204,Part not detected,High,2026-07-22 14:51:00,2026-07-22 14:53:00,2026-07-22 14:57:00
E-0521,CONVEYOR-B-01,Material Handling,C,F204,Part not detected,Medium,2026-07-22 15:09:00,2026-07-22 15:25:00,2026-07-22 15:26:00
E-0174,PACK-D-01,Packaging,A,F630,Drive overload,Low,2026-07-22 15:55:00,2026-07-22 15:59:00,2026-07-22 16:00:00
E-0062,CELL-A-01,Assembly,B,F101,Guard circuit open,Low,2026-07-22 17:55:00,2026-07-22 17:57:00,2026-07-22 17:58:00
E-0011,CELL-A-02,Assembly,A,F310,Cycle-time timeout,Medium,2026-07-22 18:26:00,2026-07-22 18:30:00,2026-07-22 18:40:00
E-0536,CONVEYOR-B-01,Material Handling,C,F204,Part not detected,Medium,2026-07-22 20:08:00,2026-07-22 20:13:00,2026-07-22 20:15:00
E-0051,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Medium,2026-07-22 20:49:00,2026-07-22 20:54:00,2026-07-22 21:04:00
E-0632,CONVEYOR-B-01,Material Handling,B,F204,Part not detected,Medium,2026-07-22 20:58:00,2026-07-22 21:10:00,2026-07-22 21:18:00
E-0520,PACK-D-01,Packaging,D,F630,Drive overload,Low,2026-07-22 22:15:00,2026-07-22 22:22:00,2026-07-22 22:30:00
E-0275,CONVEYOR-B-01,Material Handling,A,F204,Part not detected,Medium,2026-07-22 22:43:00,2026-07-22 23:01:00,2026-07-22 23:13:00
E-0371,PUMP-E-01,Utilities,A,F630,Drive overload,Low,2026-07-22 23:17:00,2026-07-22 23:23:00,2026-07-22 23:33:00
E-0643,CELL-A-01,Assembly,D,F101,Guard circuit open,Medium,2026-07-23 00:02:00,2026-07-23 00:14:00,2026-07-23 00:15:00
E-0631,CELL-A-01,Assembly,A,F310,Cycle-time timeout,High,2026-07-23 00:15:00,2026-07-23 00:27:00,2026-07-23 00:29:00
E-0556,CELL-A-01,Assembly,C,F101,Guard circuit open,Medium,2026-07-23 01:30:00,2026-07-23 01:37:00,2026-07-23 01:40:00
E-0016,CELL-A-01,Assembly,B,F204,Part not detected,Low,2026-07-23 02:24:00,2026-07-23 02:26:00,2026-07-23 02:37:00
E-0130,CELL-A-02,Assembly,C,F204,Part not detected,Low,2026-07-23 02:33:00,2026-07-23 02:47:00,2026-07-23 02:59:00
E-0265,CELL-A-01,Assembly,A,F101,Guard circuit open,Low,2026-07-23 03:45:00,2026-07-23 03:58:00,2026-07-23 04:05:00
E-0568,VISION-C-01,Inspection,D,F415,Communication interruption,High,2026-07-23 03:51:00,2026-07-23 04:01:00,2026-07-23 04:02:00
E-0583,CELL-A-01,Assembly,A,F630,Drive overload,Medium,2026-07-23 06:12:00,2026-07-23 06:30:00,2026-07-23 06:34:00
E-0463,PUMP-E-01,Utilities,C,F204,Part not detected,Low,2026-07-23 06:34:00,2026-07-23 06:35:00,2026-07-23 06:36:00
E-0094,VISION-C-01,Inspection,A,F101,Guard circuit open,Low,2026-07-23 08:25:00,2026-07-23 08:39:00,2026-07-23 08:40:00
E-0283,CELL-A-02,Assembly,A,F310,Cycle-time timeout,High,2026-07-23 10:07:00,2026-07-23 10:17:00,2026-07-23 10:23:00
E-0588,CELL-A-02,Assembly,C,F630,Drive overload,Medium,2026-07-23 12:10:00,2026-07-23 12:26:00,2026-07-23 12:27:00
E-0031,VISION-C-01,Inspection,B,F415,Communication interruption,Medium,2026-07-23 12:32:00,2026-07-23 12:37:00,2026-07-23 12:49:00
E-0268,ROBOT-G-01,Automation,C,F310,Cycle-time timeout,Low,2026-07-23 14:12:00,2026-07-23 14:20:00,2026-07-23 14:30:00
E-0184,ROBOT-G-01,Automation,D,F310,Cycle-time timeout,Medium,2026-07-23 14:25:00,2026-07-23 14:38:00,2026-07-23 14:50:00
E-0010,PUMP-E-01,Utilities,D,F310,Cycle-time timeout,Medium,2026-07-23 14:35:00,2026-07-23 14:51:00,2026-07-23 14:56:00
E-0115,CELL-A-02,Assembly,A,F630,Drive overload,Medium,2026-07-23 16:50:00,2026-07-23 17:08:00,2026-07-23 17:16:00
E-0267,ROBOT-G-01,Automation,B,F204,Part not detected,Medium,2026-07-23 17:02:00,2026-07-23 17:20:00,2026-07-23 17:24:00
E-0263,CELL-A-02,Assembly,D,F310,Cycle-time timeout,Low,2026-07-23 17:12:00,2026-07-23 17:28:00,2026-07-23 17:29:00
E-0076,VISION-C-01,Inspection,A,F630,Drive overload,High,2026-07-23 18:33:00,2026-07-23 18:43:00,2026-07-23 18:49:00
E-0471,CELL-A-02,Assembly,C,F310,Cycle-time timeout,High,2026-07-23 18:39:00,2026-07-23 18:57:00,2026-07-23 19:08:00
E-0120,VISION-C-01,Inspection,A,F522,Material-present sensor blocked,Medium,2026-07-23 22:01:00,2026-07-23 22:15:00,2026-07-23 22:23:00
E-0068,CELL-A-02,Assembly,D,F310,Cycle-time timeout,Medium,2026-07-23 23:14:00,2026-07-23 23:32:00,2026-07-23 23:41:00
E-0296,CONVEYOR-B-01,Material Handling,B,F204,Part not detected,High,2026-07-24 00:17:00,2026-07-24 00:21:00,2026-07-24 00:28:00
E-0151,PUMP-E-01,Utilities,A,F204,Part not detected,Low,2026-07-24 02:57:00,2026-07-24 03:06:00,2026-07-24 03:09:00
E-0598,CELL-A-01,Assembly,C,F101,Guard circuit open,Low,2026-07-24 03:25:00,2026-07-24 03:32:00,2026-07-24 03:38:00
E-0077,CONVEYOR-B-01,Material Handling,A,F204,Part not detected,Medium,2026-07-24 04:07:00,2026-07-24 04:10:00,2026-07-24 04:19:00
E-0460,PRESS-F-01,Forming,C,F101,Guard circuit open,Low,2026-07-24 05:01:00,2026-07-24 05:10:00,2026-07-24 05:22:00
E-0564,CONVEYOR-B-01,Material Handling,C,F204,Part not detected,Low,2026-07-24 05:33:00,2026-07-24 05:48:00,2026-07-24 05:57:00
E-0351,CELL-A-01,Assembly,B,F310,Cycle-time timeout,High,2026-07-24 06:19:00,2026-07-24 06:22:00,2026-07-24 06:25:00
E-0064,PRESS-F-01,Forming,D,F415,Communication interruption,Medium,2026-07-24 09:08:00,2026-07-24 09:22:00,2026-07-24 09:24:00
E-0078,VISION-C-01,Inspection,C,F415,Communication interruption,High,2026-07-24 12:30:00,2026-07-24 12:34:00,2026-07-24 12:43:00
E-0451,CELL-A-01,Assembly,C,F101,Guard circuit open,High,2026-07-24 12:46:00,2026-07-24 12:48:00,2026-07-24 12:58:00
E-0192,CONVEYOR-B-01,Material Handling,D,F630,Drive overload,High,2026-07-24 13:41:00,2026-07-24 13:58:00,2026-07-24 14:00:00
E-0475,VISION-C-01,Inspection,B,F630,Drive overload,High,2026-07-24 14:16:00,2026-07-24 14:17:00,2026-07-24 14:22:00
E-0308,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Low,2026-07-24 15:03:00,2026-07-24 15:06:00,2026-07-24 15:13:00
E-0333,CELL-A-01,Assembly,D,F630,Drive overload,High,2026-07-24 15:13:00,2026-07-24 15:31:00,2026-07-24 15:40:00
E-0034,CONVEYOR-B-01,Material Handling,C,F630,Drive overload,Low,2026-07-24 16:35:00,2026-07-24 16:41:00,2026-07-24 16:43:00
E-0593,CELL-A-01,Assembly,B,F101,Guard circuit open,High,2026-07-24 18:05:00,2026-07-24 18:16:00,2026-07-24 18:20:00
E-0229,ROBOT-G-01,Automation,C,F204,Part not detected,Low,2026-07-24 20:57:00,2026-07-24 20:59:00,2026-07-24 21:05:00
E-0353,PRESS-F-01,Forming,A,F415,Communication interruption,High,2026-07-24 22:50:00,2026-07-24 23:01:00,2026-07-24 23:03:00
E-0390,CELL-A-02,Assembly,A,F310,Cycle-time timeout,Medium,2026-07-24 23:04:00,2026-07-24 23:07:00,2026-07-24 23:10:00
E-0447,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Low,2026-07-24 23:12:00,2026-07-24 23:17:00,2026-07-24 23:22:00
E-0025,PACK-D-01,Packaging,C,F101,Guard circuit open,Medium,2026-07-24 23:52:00,2026-07-25 00:01:00,2026-07-25 00:10:00
E-0538,CELL-A-01,Assembly,B,F415,Communication interruption,Medium,2026-07-25 00:01:00,2026-07-25 00:19:00,2026-07-25 00:23:00
E-0601,CONVEYOR-B-01,Material Handling,B,F204,Part not detected,Medium,2026-07-25 00:13:00,2026-07-25 00:18:00,2026-07-25 00:30:00
E-0507,PACK-D-01,Packaging,B,F522,Material-present sensor blocked,Low,2026-07-25 03:48:00,2026-07-25 03:57:00,2026-07-25 04:08:00
E-0378,CELL-A-01,Assembly,C,F101,Guard circuit open,High,2026-07-25 04:05:00,2026-07-25 04:09:00,2026-07-25 04:15:00
E-0247,CELL-A-02,Assembly,C,F310,Cycle-time timeout,Medium,2026-07-25 04:20:00,2026-07-25 04:24:00,2026-07-25 04:31:00
E-0455,CONVEYOR-B-01,Material Handling,B,F101,Guard circuit open,Low,2026-07-25 04:36:00,2026-07-25 04:41:00,2026-07-25 04:53:00
E-0322,VISION-C-01,Inspection,B,F415,Communication interruption,Low,2026-07-25 05:05:00,2026-07-25 05:12:00,2026-07-25 05:22:00
E-0221,ROBOT-G-01,Automation,C,F630,Drive overload,Low,2026-07-25 05:07:00,2026-07-25 05:12:00,2026-07-25 05:23:00
E-0634,VISION-C-01,Inspection,B,F415,Communication interruption,Medium,2026-07-25 05:24:00,2026-07-25 05:29:00,2026-07-25 05:33:00
E-0095,PACK-D-01,Packaging,A,F630,Drive overload,Medium,2026-07-25 06:25:00,2026-07-25 06:37:00,2026-07-25 06:44:00
E-0355,PACK-D-01,Packaging,B,F101,Guard circuit open,Low,2026-07-25 06:28:00,2026-07-25 06:40:00,2026-07-25 06:44:00
E-0049,CONVEYOR-B-01,Material Handling,D,F204,Part not detected,Medium,2026-07-25 06:51:00,2026-07-25 06:59:00,2026-07-25 07:00:00
E-0540,CELL-A-01,Assembly,C,F101,Guard circuit open,Medium,2026-07-25 08:22:00,2026-07-25 08:27:00,2026-07-25 08:34:00
E-0366,PUMP-E-01,Utilities,B,F204,Part not detected,Medium,2026-07-25 08:50:00,2026-07-25 09:04:00,2026-07-25 09:15:00
E-0253,CELL-A-01,Assembly,D,F415,Communication interruption,Medium,2026-07-25 08:57:00,2026-07-25 09:07:00,2026-07-25 09:12:00
E-0559,ROBOT-G-01,Automation,D,F310,Cycle-time timeout,Medium,2026-07-25 09:55:00,2026-07-25 09:57:00,2026-07-25 10:03:00
E-0160,CELL-A-02,Assembly,D,F310,Cycle-time timeout,Low,2026-07-25 10:22:00,2026-07-25 10:28:00,2026-07-25 10:31:00
E-0278,CELL-A-02,Assembly,A,F310,Cycle-time timeout,Medium,2026-07-25 10:43:00,2026-07-25 10:46:00,2026-07-25 10:57:00
E-0566,CONVEYOR-B-01,Material Handling,B,F204,Part not detected,Medium,2026-07-25 11:32:00,2026-07-25 11:45:00,2026-07-25 11:48:00
E-0207,CELL-A-02,Assembly,D,F522,Material-present sensor blocked,High,2026-07-25 12:03:00,2026-07-25 12:10:00,2026-07-25 12:16:00
E-0574,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Medium,2026-07-25 12:37:00,2026-07-25 12:53:00,2026-07-25 13:03:00
E-0562,PACK-D-01,Packaging,B,F101,Guard circuit open,Medium,2026-07-25 13:51:00,2026-07-25 14:02:00,2026-07-25 14:07:00
E-0429,CONVEYOR-B-01,Material Handling,D,F204,Part not detected,High,2026-07-25 14:38:00,2026-07-25 14:40:00,2026-07-25 14:42:00
E-0023,VISION-C-01,Inspection,A,F415,Communication interruption,High,2026-07-25 15:26:00,2026-07-25 15:31:00,2026-07-25 15:32:00
E-0040,CONVEYOR-B-01,Material Handling,B,F204,Part not detected,High,2026-07-25 15:39:00,2026-07-25 15:53:00,2026-07-25 15:58:00
E-0406,CELL-A-02,Assembly,B,F310,Cycle-time timeout,Medium,2026-07-25 17:41:00,2026-07-25 17:42:00,2026-07-25 17:44:00
E-0107,PRESS-F-01,Forming,D,F415,Communication interruption,Low,2026-07-25 17:58:00,2026-07-25 18:08:00,2026-07-25 18:12:00
E-0416,PACK-D-01,Packaging,D,F101,Guard circuit open,Low,2026-07-25 18:10:00,2026-07-25 18:11:00,2026-07-25 18:16:00
E-0591,CONVEYOR-B-01,Material Handling,D,F204,Part not detected,Low,2026-07-25 19:40:00,2026-07-25 19:55:00,2026-07-25 19:58:00
E-0271,PRESS-F-01,Forming,B,F630,Drive overload,Medium,2026-07-25 20:03:00,2026-07-25 20:11:00,2026-07-25 20:21:00
E-0541,CONVEYOR-B-01,Material Handling,C,F204,Part not detected,High,2026-07-25 23:15:00,2026-07-25 23:17:00,2026-07-25 23:23:00
E-0176,PACK-D-01,Packaging,B,F415,Communication interruption,High,2026-07-25 23:27:00,2026-07-25 23:41:00,2026-07-25 23:48:00
E-0074,VISION-C-01,Inspection,A,F415,Communication interruption,Medium,2026-07-26 02:16:00,2026-07-26 02:27:00,2026-07-26 02:28:00
E-0517,PACK-D-01,Packaging,B,F415,Communication interruption,Medium,2026-07-26 03:27:00,2026-07-26 03:31:00,2026-07-26 03:39:00
E-0513,PUMP-E-01,Utilities,B,F630,Drive overload,Medium,2026-07-26 04:48:00,2026-07-26 05:04:00,2026-07-26 05:12:00
E-0002,PUMP-E-01,Utilities,A,F522,Material-present sensor blocked,Medium,2026-07-26 05:25:00,2026-07-26 05:40:00,2026-07-26 05:47:00
E-0310,CELL-A-01,Assembly,A,F101,Guard circuit open,Low,2026-07-26 07:07:00,2026-07-26 07:24:00,2026-07-26 07:34:00
E-0408,PACK-D-01,Packaging,D,F204,Part not detected,Medium,2026-07-26 09:35:00,2026-07-26 09:36:00,2026-07-26 09:38:00
E-0161,VISION-C-01,Inspection,C,F415,Communication interruption,Low,2026-07-26 09:41:00,2026-07-26 09:45:00,2026-07-26 09:47:00
